target,rmse,r2,intercept,agents_average_initial_opinion,technology_success_rate
k_S->Q,0.09082430172381427,0.009779672821090934,0.04335167067820313,-0.004689653082448862,0.027093495802838277
k_S->L,0.05912432274366922,0.14649216076371407,0.07638449786184943,0.0020994414629824237,-0.0773542016681425
k_Q->L,0.07875157343826139,0.32568834774386823,-0.008401099463659885,0.04530548322848174,0.14976050123424814
k_Q->B,0.19168555436596144,0.3449685824331107,0.38322496095414804,0.06552305656563678,-0.42162161404298726
k_L->Q,0.16401561597976394,0.20608081914981535,0.21661807154553603,0.0633895371686693,-0.23472283813291883
k_L->B,0.0383377334344868,0.03964222277910301,0.021260930162379125,-0.0038701092223865363,-0.02349014528153054
k_B->S,0.04562074886597742,0.03258291887727616,-0.0065482483112362,0.0023160086752770127,0.0261018199064513
