name,agents_average_initial_opinion,technology_success_rate,final_adaption
2_0_4_0,-1.0,0.4,0.0
2_0_4_1,-1.0,0.4,0.0
2_0_4_2,-1.0,0.4,0.0
2_0_4_3,-1.0,0.4,0.0
2_0_4_4,-1.0,0.4,0.0
2_0_4_5,-1.0,0.4,0.0
3_0_4_0,-1.0,0.4,0.0
3_0_4_1,-1.0,0.4,0.0
3_0_4_2,-1.0,0.4,0.0
3_0_4_3,-1.0,0.4,0.0
3_0_4_4,-1.0,0.4,0.0
3_0_4_5,-1.0,0.4,0.0
4_0_4_0,-1.0,0.4,0.0
4_0_4_1,-1.0,0.4,0.0
4_0_4_2,-1.0,0.4,0.0
4_0_4_3,-1.0,0.4,0.0
4_0_4_4,-1.0,0.4,0.0
4_0_4_5,-1.0,0.4,0.0
0_0_5_0,-1.0,0.5,0.0
0_0_5_1,-1.0,0.5,0.0
0_0_5_2,-1.0,0.5,0.0
0_0_5_3,-1.0,0.5,0.0
0_0_5_4,-1.0,0.5,0.0
0_0_5_5,-1.0,0.5,0.0
1_0_5_0,-1.0,0.5,0.0
1_0_5_1,-1.0,0.5,0.0
1_0_5_2,-1.0,0.5,0.0
1_0_5_3,-1.0,0.5,0.0
1_0_5_4,-1.0,0.5,0.0
1_0_5_5,-1.0,0.5,0.0
2_0_5_0,-1.0,0.5,0.0
2_0_5_1,-1.0,0.5,0.0
2_0_5_2,-1.0,0.5,0.0
2_0_5_3,-1.0,0.5,0.0
2_0_5_4,-1.0,0.5,0.0
2_0_5_5,-1.0,0.5,0.0
3_0_5_0,-1.0,0.5,0.0
3_0_5_1,-1.0,0.5,0.0
3_0_5_2,-1.0,0.5,0.0
3_0_5_3,-1.0,0.5,0.0
3_0_5_4,-1.0,0.5,0.0
3_0_5_5,-1.0,0.5,0.0
4_0_5_0,-1.0,0.5,0.0
4_0_5_1,-1.0,0.5,0.0
4_0_5_2,-1.0,0.5,0.0
4_0_5_3,-1.0,0.5,0.0
4_0_5_4,-1.0,0.5,0.0
4_0_5_5,-1.0,0.5,0.0
0_0_6_0,-1.0,0.6,0.0
0_0_6_1,-1.0,0.6,0.0
0_0_6_2,-1.0,0.6,0.0
0_0_6_3,-1.0,0.6,0.0
0_0_6_4,-1.0,0.6,0.0
0_0_6_5,-1.0,0.6,0.0
1_0_6_0,-1.0,0.6,0.0
1_0_6_1,-1.0,0.6,0.0
1_0_6_2,-1.0,0.6,0.0
1_0_6_3,-1.0,0.6,0.0
1_0_6_4,-1.0,0.6,0.0
1_0_6_5,-1.0,0.6,0.0
2_0_6_0,-1.0,0.6,0.0
2_0_6_1,-1.0,0.6,0.0
2_0_6_2,-1.0,0.6,0.0
2_0_6_3,-1.0,0.6,0.0
2_0_6_4,-1.0,0.6,0.0
2_0_6_5,-1.0,0.6,0.0
3_0_6_0,-1.0,0.6,0.0
3_0_6_1,-1.0,0.6,0.0
3_0_6_2,-1.0,0.6,0.0
3_0_6_3,-1.0,0.6,0.0
3_0_6_4,-1.0,0.6,0.0
3_0_6_5,-1.0,0.6,0.0
4_0_6_0,-1.0,0.6,0.0
4_0_6_1,-1.0,0.6,0.0
4_0_6_2,-1.0,0.6,0.0
