name,seed,teams_num,agents_average_initial_opinion,technology_success_rate
0_1_9_0,383329927,1,-0.9,0.9
0_1_9_1,383329927,5,-0.9,0.9
0_1_9_2,383329927,10,-0.9,0.9
0_1_9_3,383329927,15,-0.9,0.9
0_1_9_4,383329927,20,-0.9,0.9
0_1_9_5,383329927,25,-0.9,0.9
0_1_10_0,383329927,1,-0.9,1.0
0_1_10_1,383329927,5,-0.9,1.0
0_1_10_2,383329927,10,-0.9,1.0
0_1_10_3,383329927,15,-0.9,1.0
0_1_10_4,383329927,20,-0.9,1.0
0_1_10_5,383329927,25,-0.9,1.0
0_2_0_0,383329927,1,-0.8,0.0
0_2_0_1,383329927,5,-0.8,0.0
0_2_0_2,383329927,10,-0.8,0.0
0_2_0_3,383329927,15,-0.8,0.0
0_2_0_4,383329927,20,-0.8,0.0
0_2_0_5,383329927,25,-0.8,0.0
0_2_1_0,383329927,1,-0.8,0.1
0_2_1_1,383329927,5,-0.8,0.1
0_2_1_2,383329927,10,-0.8,0.1
0_2_1_3,383329927,15,-0.8,0.1
0_2_1_4,383329927,20,-0.8,0.1
0_2_1_5,383329927,25,-0.8,0.1
0_2_2_0,383329927,1,-0.8,0.2
0_2_2_1,383329927,5,-0.8,0.2
0_2_2_2,383329927,10,-0.8,0.2
0_2_2_3,383329927,15,-0.8,0.2
0_2_2_4,383329927,20,-0.8,0.2
0_2_2_5,383329927,25,-0.8,0.2
0_2_3_0,383329927,1,-0.8,0.3
0_2_3_1,383329927,5,-0.8,0.3
0_2_3_2,383329927,10,-0.8,0.3
0_2_3_3,383329927,15,-0.8,0.3
0_2_3_4,383329927,20,-0.8,0.3
0_2_3_5,383329927,25,-0.8,0.3
0_2_4_0,383329927,1,-0.8,0.4
0_2_4_1,383329927,5,-0.8,0.4
0_2_4_2,383329927,10,-0.8,0.4
0_2_4_3,383329927,15,-0.8,0.4
0_2_4_4,383329927,20,-0.8,0.4
0_2_4_5,383329927,25,-0.8,0.4
0_2_5_0,383329927,1,-0.8,0.5
0_2_5_1,383329927,5,-0.8,0.5
0_2_5_2,383329927,10,-0.8,0.5
0_2_5_3,383329927,15,-0.8,0.5
0_2_5_4,383329927,20,-0.8,0.5
0_2_5_5,383329927,25,-0.8,0.5
0_2_6_0,383329927,1,-0.8,0.6
0_2_6_1,383329927,5,-0.8,0.6
0_2_6_2,383329927,10,-0.8,0.6
0_2_6_3,383329927,15,-0.8,0.6
0_2_6_4,383329927,20,-0.8,0.6
0_2_6_5,383329927,25,-0.8,0.6
0_2_7_0,383329927,1,-0.8,0.7
0_2_7_1,383329927,5,-0.8,0.7
0_2_7_2,383329927,10,-0.8,0.7
0_2_7_3,383329927,15,-0.8,0.7
0_2_7_4,383329927,20,-0.8,0.7
0_2_7_5,383329927,25,-0.8,0.7
0_2_8_0,383329927,1,-0.8,0.8
0_2_8_1,383329927,5,-0.8,0.8
0_2_8_2,383329927,10,-0.8,0.8
0_2_8_3,383329927,15,-0.8,0.8
0_2_8_4,383329927,20,-0.8,0.8
0_2_8_5,383329927,25,-0.8,0.8
0_2_9_0,383329927,1,-0.8,0.9
0_2_9_1,383329927,5,-0.8,0.9
0_2_9_2,383329927,10,-0.8,0.9
0_2_9_3,383329927,15,-0.8,0.9
0_2_9_4,383329927,20,-0.8,0.9
0_2_9_5,383329927,25,-0.8,0.9
0_2_10_0,383329927,1,-0.8,1.0
0_2_10_1,383329927,5,-0.8,1.0
0_2_10_2,383329927,10,-0.8,1.0
0_2_10_3,383329927,15,-0.8,1.0
0_2_10_4,383329927,20,-0.8,1.0
0_2_10_5,383329927,25,-0.8,1.0
0_3_0_0,383329927,1,-0.7,0.0
0_3_0_1,383329927,5,-0.7,0.0
0_3_0_2,383329927,10,-0.7,0.0
0_3_0_3,383329927,15,-0.7,0.0
0_3_0_4,383329927,20,-0.7,0.0
0_3_0_5,383329927,25,-0.7,0.0
0_3_1_0,383329927,1,-0.7,0.1
0_3_1_1,383329927,5,-0.7,0.1
0_3_1_2,383329927,10,-0.7,0.1
0_3_1_3,383329927,15,-0.7,0.1
0_3_1_4,383329927,20,-0.7,0.1
0_3_1_5,383329927,25,-0.7,0.1
0_3_2_0,383329927,1,-0.7,0.2
0_3_2_1,383329927,5,-0.7,0.2
0_3_2_2,383329927,10,-0.7,0.2
0_3_2_3,383329927,15,-0.7,0.2
0_3_2_4,383329927,20,-0.7,0.2
0_3_2_5,383329927,25,-0.7,0.2
0_3_3_0,383329927,1,-0.7,0.3
0_3_3_1,383329927,5,-0.7,0.3
0_3_3_2,383329927,10,-0.7,0.3
0_3_3_3,383329927,15,-0.7,0.3
0_3_3_4,383329927,20,-0.7,0.3
0_3_3_5,383329927,25,-0.7,0.3
0_3_4_0,383329927,1,-0.7,0.4
0_3_4_1,383329927,5,-0.7,0.4
0_3_4_2,383329927,10,-0.7,0.4
0_3_4_3,383329927,15,-0.7,0.4
0_3_4_4,383329927,20,-0.7,0.4
0_3_4_5,383329927,25,-0.7,0.4
0_3_5_0,383329927,1,-0.7,0.5
0_3_5_1,383329927,5,-0.7,0.5
0_3_5_2,383329927,10,-0.7,0.5
0_3_5_3,383329927,15,-0.7,0.5
0_3_5_4,383329927,20,-0.7,0.5
0_3_5_5,383329927,25,-0.7,0.5
0_3_6_0,383329927,1,-0.7,0.6
0_3_6_1,383329927,5,-0.7,0.6
0_3_6_2,383329927,10,-0.7,0.6
0_3_6_3,383329927,15,-0.7,0.6
0_3_6_4,383329927,20,-0.7,0.6
0_3_6_5,383329927,25,-0.7,0.6
0_3_7_0,383329927,1,-0.7,0.7
0_3_7_1,383329927,5,-0.7,0.7
0_3_7_2,383329927,10,-0.7,0.7
0_3_7_3,383329927,15,-0.7,0.7
0_3_7_4,383329927,20,-0.7,0.7
0_3_7_5,383329927,25,-0.7,0.7
0_3_8_0,383329927,1,-0.7,0.8
0_3_8_1,383329927,5,-0.7,0.8
0_3_8_2,383329927,10,-0.7,0.8
0_3_8_3,383329927,15,-0.7,0.8
0_3_8_4,383329927,20,-0.7,0.8
0_3_8_5,383329927,25,-0.7,0.8
0_3_9_0,383329927,1,-0.7,0.9
0_3_9_1,383329927,5,-0.7,0.9
0_3_9_2,383329927,10,-0.7,0.9
0_3_9_3,383329927,15,-0.7,0.9
0_3_9_4,383329927,20,-0.7,0.9
0_3_9_5,383329927,25,-0.7,0.9
0_3_10_0,383329927,1,-0.7,1.0
0_3_10_1,383329927,5,-0.7,1.0
0_3_10_2,383329927,10,-0.7,1.0
0_3_10_3,383329927,15,-0.7,1.0
0_3_10_4,383329927,20,-0.7,1.0
0_3_10_5,383329927,25,-0.7,1.0
0_4_0_0,383329927,1,-0.6,0.0
0_4_0_1,383329927,5,-0.6,0.0
0_4_0_2,383329927,10,-0.6,0.0
0_4_0_3,383329927,15,-0.6,0.0
0_4_0_4,383329927,20,-0.6,0.0
0_4_0_5,383329927,25,-0.6,0.0
0_4_1_0,383329927,1,-0.6,0.1
0_4_1_1,383329927,5,-0.6,0.1
0_4_1_2,383329927,10,-0.6,0.1
0_4_1_3,383329927,15,-0.6,0.1
0_4_1_4,383329927,20,-0.6,0.1
0_4_1_5,383329927,25,-0.6,0.1
0_4_2_0,383329927,1,-0.6,0.2
0_4_2_1,383329927,5,-0.6,0.2
0_4_2_2,383329927,10,-0.6,0.2
0_4_2_3,383329927,15,-0.6,0.2
0_4_2_4,383329927,20,-0.6,0.2
0_4_2_5,383329927,25,-0.6,0.2
0_4_3_0,383329927,1,-0.6,0.3
0_4_3_1,383329927,5,-0.6,0.3
0_4_3_2,383329927,10,-0.6,0.3
0_4_3_3,383329927,15,-0.6,0.3
0_4_3_4,383329927,20,-0.6,0.3
0_4_3_5,383329927,25,-0.6,0.3
0_4_4_0,383329927,1,-0.6,0.4
0_4_4_1,383329927,5,-0.6,0.4
0_4_4_2,383329927,10,-0.6,0.4
0_4_4_3,383329927,15,-0.6,0.4
